# J, eta_p, CT, CP
0.0,0.00,0.0667,0.0279
0.0,0.04,0.0664,0.0280
0.0,0.08,0.0661,0.0283
0.1,0.12,0.0657,0.0282
0.1,0.15,0.0652,0.0283
0.1,0.19,0.0646,0.0283
0.1,0.23,0.0635,0.0281
0.1,0.26,0.0627,0.0282
0.1,0.29,0.0617,0.0279
0.1,0.33,0.0603,0.0277
0.2,0.36,0.0586,0.0272
0.2,0.39,0.0566,0.0268
0.2,0.42,0.0545,0.0263
0.2,0.44,0.0521,0.0256
0.2,0.46,0.0494,0.0249
0.2,0.49,0.0467,0.0240
0.3,0.51,0.0438,0.0231
0.3,0.52,0.0409,0.0222
0.3,0.54,0.0379,0.0212
0.3,0.55,0.0348,0.0201
0.3,0.56,0.0317,0.0190
0.3,0.56,0.0285,0.0177
0.4,0.56,0.0251,0.0165
0.4,0.56,0.0218,0.0151
0.4,0.54,0.0184,0.0137
0.4,0.50,0.0148,0.0123
0.4,0.45,0.0112,0.0109
0.4,0.36,0.0076,0.0095
0.5,0.22,0.0038,0.0080
0.5,-0.00,-0.0000,0.0066
