# J, eta_p, CT, CP
0.00,0.0000,0.1001,0.0364
0.03,0.0710,0.0992,0.0372
0.05,0.1376,0.0980,0.0380
0.08,0.1999,0.0966,0.0386
0.11,0.2583,0.0950,0.0392
0.13,0.3130,0.0931,0.0396
0.16,0.3638,0.0910,0.0400
0.19,0.4111,0.0888,0.0403
0.21,0.4550,0.0863,0.0405
0.24,0.4958,0.0836,0.0405
0.27,0.5334,0.0807,0.0404
0.29,0.5679,0.0777,0.0401
0.32,0.6010,0.0744,0.0396
0.35,0.6299,0.0709,0.0390
0.37,0.6562,0.0671,0.0382
0.40,0.6799,0.0633,0.0373
0.43,0.7012,0.0594,0.0362
0.45,0.7201,0.0554,0.0350
0.48,0.7366,0.0514,0.0335
0.51,0.7495,0.0472,0.0319
0.53,0.7579,0.0429,0.0302
0.56,0.7624,0.0385,0.0283
0.59,0.7662,0.0340,0.0261
0.61,0.7609,0.0295,0.0238
0.64,0.7480,0.0248,0.0213
0.67,0.7231,0.0201,0.0186
0.69,0.6765,0.0153,0.0157
0.72,0.5859,0.0103,0.0127
0.75,0.3959,0.0052,0.0099
0.77,-0.0050,-0.0000,0.0073
