# J, eta_p, CT, CP
0.0,0.00,0.1090,0.1273
0.0,0.05,0.1093,0.1255
0.1,0.09,0.1096,0.1235
0.1,0.14,0.1099,0.1215
0.2,0.19,0.1101,0.1194
0.2,0.23,0.1105,0.1189
0.3,0.27,0.1109,0.1195
0.3,0.33,0.1106,0.1128
0.3,0.37,0.1106,0.1106
0.4,0.41,0.1106,0.1098
0.4,0.45,0.1105,0.1093
0.5,0.51,0.1096,0.1041
0.5,0.55,0.1090,0.1029
0.5,0.60,0.1077,0.1006
0.6,0.65,0.1058,0.0983
0.6,0.70,0.1030,0.0951
0.7,0.74,0.0994,0.0918
0.7,0.78,0.0948,0.0884
0.8,0.81,0.0891,0.0847
0.8,0.83,0.0824,0.0805
0.8,0.85,0.0749,0.0755
0.9,0.86,0.0674,0.0701
0.9,0.87,0.0596,0.0641
1.0,0.88,0.0515,0.0574
1.0,0.89,0.0433,0.0501
1.1,0.89,0.0348,0.0420
1.1,0.87,0.0261,0.0332
1.1,0.83,0.0173,0.0243
1.2,0.70,0.0085,0.0151
1.2,0.00,0.0002,0.0065
