# J, eta_p, CT, CP
0.00,0.0000,0.0800,0.0398
0.02,0.0546,0.0796,0.0395
0.05,0.1077,0.0791,0.0394
0.07,0.1595,0.0786,0.0390
0.09,0.2099,0.0779,0.0387
0.12,0.2590,0.0772,0.0384
0.14,0.3069,0.0762,0.0379
0.16,0.3533,0.0752,0.0375
0.19,0.3984,0.0739,0.0369
0.21,0.4424,0.0721,0.0361
0.24,0.4843,0.0697,0.0350
0.26,0.5235,0.0670,0.0340
0.28,0.5590,0.0641,0.0330
0.31,0.5905,0.0611,0.0321
0.33,0.6190,0.0580,0.0312
0.35,0.6443,0.0548,0.0303
0.38,0.6664,0.0514,0.0292
0.40,0.6846,0.0480,0.0282
0.42,0.7003,0.0445,0.0270
0.45,0.7130,0.0408,0.0257
0.47,0.7224,0.0371,0.0242
0.49,0.7287,0.0333,0.0227
0.52,0.7305,0.0295,0.0209
0.54,0.7248,0.0256,0.0192
0.56,0.7087,0.0216,0.0173
0.59,0.6764,0.0174,0.0152
0.61,0.6166,0.0132,0.0132
0.64,0.5146,0.0089,0.0110
0.66,0.3355,0.0045,0.0089
0.68,-0.0008,-0.0000,0.0067
