# J, eta_p, CT, CP
0.0,0.00,0.1021,0.0529
0.0,0.05,0.1018,0.0524
0.0,0.11,0.1014,0.0519
0.1,0.16,0.1008,0.0514
0.1,0.21,0.1000,0.0508
0.1,0.27,0.0989,0.0495
0.2,0.32,0.0977,0.0498
0.2,0.37,0.0961,0.0494
0.2,0.41,0.0942,0.0489
0.2,0.46,0.0919,0.0484
0.3,0.50,0.0893,0.0479
0.3,0.54,0.0864,0.0472
0.3,0.58,0.0832,0.0463
0.3,0.62,0.0798,0.0452
0.4,0.65,0.0760,0.0443
0.4,0.68,0.0719,0.0429
0.4,0.70,0.0675,0.0413
0.5,0.73,0.0629,0.0395
0.5,0.75,0.0581,0.0375
0.5,0.77,0.0533,0.0354
0.5,0.78,0.0486,0.0332
0.6,0.79,0.0437,0.0309
0.6,0.80,0.0386,0.0284
0.6,0.81,0.0335,0.0255
0.6,0.81,0.0281,0.0225
0.7,0.80,0.0228,0.0192
0.7,0.77,0.0172,0.0159
0.7,0.70,0.0116,0.0122
0.7,0.55,0.0059,0.0084
0.8,-0.00,-0.0000,0.0055
