# J, eta_p, CT, CP
0.0,0.00,0.1075,0.0594
0.0,0.05,0.1066,0.0576
0.1,0.10,0.1054,0.0559
0.1,0.15,0.1040,0.0542
0.1,0.20,0.1024,0.0526
0.1,0.25,0.1007,0.0511
0.1,0.30,0.0986,0.0497
0.2,0.34,0.0964,0.0485
0.2,0.39,0.0938,0.0473
0.2,0.44,0.0911,0.0462
0.2,0.48,0.0881,0.0450
0.3,0.52,0.0849,0.0440
0.3,0.55,0.0814,0.0429
0.3,0.59,0.0777,0.0419
0.3,0.62,0.0737,0.0407
0.4,0.64,0.0696,0.0394
0.4,0.67,0.0651,0.0379
0.4,0.69,0.0609,0.0364
0.4,0.71,0.0564,0.0347
0.5,0.72,0.0519,0.0329
0.5,0.74,0.0472,0.0310
0.5,0.75,0.0424,0.0289
0.5,0.75,0.0375,0.0265
0.6,0.76,0.0325,0.0239
0.6,0.75,0.0273,0.0212
0.6,0.73,0.0220,0.0183
0.6,0.69,0.0166,0.0153
0.6,0.62,0.0111,0.0120
0.7,0.46,0.0056,0.0087
0.7,-0.01,-0.0001,0.0054
