# J, eta_p, CT, CP
0.00,0.0000,0.1168,0.1675
0.05,0.0459,0.1172,0.1648
0.09,0.0911,0.1176,0.1618
0.14,0.1358,0.1180,0.1587
0.18,0.1799,0.1184,0.1556
0.23,0.2238,0.1187,0.1522
0.28,0.2677,0.1189,0.1487
0.32,0.3115,0.1190,0.1451
0.37,0.3554,0.1190,0.1415
0.41,0.3997,0.1189,0.1380
0.46,0.4451,0.1186,0.1342
0.51,0.4903,0.1182,0.1308
0.55,0.5364,0.1175,0.1273
0.60,0.5831,0.1166,0.1240
0.65,0.6310,0.1152,0.1205
0.69,0.6813,0.1129,0.1162
0.74,0.7327,0.1096,0.1111
0.78,0.7781,0.1045,0.1057
0.83,0.8149,0.0972,0.0992
0.88,0.8380,0.0893,0.0935
0.92,0.8547,0.0812,0.0878
0.97,0.8692,0.0729,0.0814
1.01,0.8816,0.0643,0.0741
1.06,0.8915,0.0556,0.0662
1.11,0.8979,0.0468,0.0577
1.15,0.8978,0.0377,0.0484
1.20,0.8859,0.0285,0.0385
1.24,0.8410,0.0191,0.0283
1.29,0.6815,0.0097,0.0182
1.34,0.0050,0.0000,0.0088
