# J, eta_p, CT, CP
0.00,0.0000,0.0894,0.1004
0.04,0.0446,0.0896,0.0989
0.08,0.0887,0.0898,0.0973
0.11,0.1313,0.0900,0.0961
0.15,0.1785,0.0901,0.0932
0.19,0.2227,0.0901,0.0913
0.23,0.2618,0.0902,0.0905
0.27,0.3056,0.0902,0.0885
0.31,0.3494,0.0902,0.0866
0.34,0.3971,0.0900,0.0841
0.38,0.4386,0.0898,0.0829
0.42,0.4941,0.0893,0.0792
0.46,0.5394,0.0888,0.0777
0.50,0.5895,0.0880,0.0756
0.54,0.6407,0.0867,0.0732
0.57,0.6917,0.0847,0.0706
0.61,0.7352,0.0818,0.0685
0.65,0.7743,0.0776,0.0656
0.69,0.8018,0.0724,0.0626
0.73,0.8218,0.0668,0.0595
0.77,0.8395,0.0610,0.0559
0.80,0.8533,0.0551,0.0521
0.84,0.8651,0.0488,0.0477
0.88,0.8732,0.0422,0.0427
0.92,0.8750,0.0355,0.0374
0.96,0.8664,0.0288,0.0319
0.99,0.8408,0.0220,0.0261
1.03,0.7755,0.0148,0.0199
1.07,0.6043,0.0074,0.0133
1.11,0.0018,0.0000,0.0069
