# J, eta_p, CT, CP
0.0,0.00,0.1477,0.0704
0.0,0.06,0.1457,0.0697
0.1,0.11,0.1432,0.0689
0.1,0.17,0.1405,0.0683
0.1,0.22,0.1374,0.0675
0.1,0.27,0.1340,0.0668
0.2,0.32,0.1304,0.0660
0.2,0.36,0.1262,0.0651
0.2,0.41,0.1219,0.0643
0.2,0.45,0.1173,0.0633
0.3,0.49,0.1127,0.0623
0.3,0.52,0.1080,0.0611
0.3,0.56,0.1031,0.0599
0.3,0.59,0.0980,0.0584
0.4,0.62,0.0927,0.0568
0.4,0.64,0.0874,0.0550
0.4,0.66,0.0819,0.0531
0.5,0.68,0.0763,0.0510
0.5,0.70,0.0707,0.0488
0.5,0.72,0.0648,0.0464
0.5,0.72,0.0588,0.0437
0.6,0.73,0.0527,0.0407
0.6,0.73,0.0464,0.0375
0.6,0.72,0.0402,0.0345
0.6,0.70,0.0339,0.0312
0.7,0.66,0.0274,0.0279
0.7,0.59,0.0206,0.0242
0.7,0.50,0.0141,0.0206
0.8,0.32,0.0069,0.0163
0.8,0.00,0.0001,0.0132
