# J, eta_p, CT, CP
0.00,0.0000,0.1009,0.1031
0.04,0.0555,0.1010,0.1020
0.08,0.1093,0.1013,0.1015
0.11,0.1613,0.1014,0.1007
0.15,0.2116,0.1016,0.0998
0.19,0.2602,0.1016,0.0985
0.23,0.3072,0.1016,0.0969
0.27,0.3526,0.1016,0.0959
0.30,0.3967,0.1015,0.0948
0.34,0.4392,0.1013,0.0940
0.38,0.4814,0.1009,0.0919
0.42,0.5223,0.1003,0.0902
0.46,0.5626,0.0995,0.0885
0.49,0.6018,0.0984,0.0870
0.53,0.6405,0.0968,0.0851
0.57,0.6774,0.0946,0.0834
0.61,0.7137,0.0912,0.0806
0.65,0.7488,0.0864,0.0764
0.69,0.7814,0.0803,0.0714
0.72,0.8061,0.0738,0.0667
0.76,0.8241,0.0671,0.0623
0.80,0.8373,0.0603,0.0577
0.84,0.8468,0.0533,0.0528
0.88,0.8532,0.0461,0.0474
0.91,0.8537,0.0387,0.0415
0.95,0.8437,0.0311,0.0352
0.99,0.8137,0.0235,0.0286
1.03,0.7382,0.0157,0.0221
1.07,0.5507,0.0080,0.0158
1.10,-0.0069,-0.0001,0.0092
