# J, eta_p, CT, CP
0.00,0.0000,0.0796,0.0427
0.03,0.0568,0.0793,0.0423
0.05,0.1121,0.0790,0.0418
0.08,0.1658,0.0785,0.0414
0.10,0.2182,0.0780,0.0409
0.13,0.2691,0.0773,0.0403
0.15,0.3187,0.0764,0.0398
0.18,0.3670,0.0755,0.0391
0.20,0.4140,0.0743,0.0384
0.23,0.4597,0.0729,0.0377
0.25,0.5036,0.0712,0.0370
0.28,0.5455,0.0693,0.0362
0.30,0.5846,0.0669,0.0353
0.33,0.6207,0.0641,0.0343
0.35,0.6530,0.0610,0.0333
0.38,0.6812,0.0576,0.0321
0.40,0.7055,0.0541,0.0310
0.43,0.7249,0.0504,0.0298
0.46,0.7410,0.0466,0.0286
0.48,0.7541,0.0427,0.0272
0.51,0.7643,0.0388,0.0256
0.53,0.7712,0.0348,0.0239
0.56,0.7749,0.0307,0.0220
0.58,0.7738,0.0265,0.0199
0.61,0.7669,0.0223,0.0176
0.63,0.7512,0.0179,0.0150
0.66,0.7160,0.0135,0.0124
0.68,0.6427,0.0091,0.0096
0.71,0.4697,0.0046,0.0069
0.73,-0.0002,0.0001,0.0053
