# J, eta_p, CT, CP
0.00,0.0000,0.1193,0.0808
0.03,0.0539,0.1191,0.0804
0.06,0.1063,0.1188,0.0800
0.09,0.1574,0.1185,0.0795
0.12,0.2072,0.1180,0.0789
0.15,0.2556,0.1174,0.0783
0.18,0.3029,0.1166,0.0775
0.21,0.3491,0.1155,0.0767
0.24,0.3941,0.1141,0.0757
0.27,0.4381,0.1124,0.0745
0.30,0.4810,0.1103,0.0731
0.33,0.5227,0.1076,0.0714
0.37,0.5628,0.1043,0.0695
0.40,0.6009,0.1003,0.0672
0.43,0.6355,0.0954,0.0647
0.46,0.6648,0.0901,0.0624
0.49,0.6899,0.0847,0.0601
0.52,0.7126,0.0791,0.0576
0.55,0.7322,0.0733,0.0549
0.58,0.7479,0.0673,0.0521
0.61,0.7603,0.0613,0.0491
0.64,0.7696,0.0551,0.0458
0.67,0.7752,0.0487,0.0421
0.70,0.7745,0.0421,0.0381
0.73,0.7662,0.0355,0.0338
0.76,0.7472,0.0286,0.0292
0.79,0.7063,0.0217,0.0243
0.82,0.6265,0.0146,0.0192
0.85,0.4581,0.0074,0.0139
0.88,0.0092,0.0000,0.0085
