# J, eta_p, CT, CP
0.00,0.0000,0.0935,0.0450
0.03,0.0556,0.0932,0.0446
0.05,0.1109,0.0927,0.0442
0.08,0.1657,0.0921,0.0437
0.10,0.2200,0.0913,0.0433
0.13,0.2734,0.0902,0.0429
0.15,0.3254,0.0890,0.0426
0.18,0.3752,0.0874,0.0423
0.21,0.4228,0.0856,0.0420
0.23,0.4680,0.0834,0.0416
0.26,0.5108,0.0810,0.0411
0.28,0.5506,0.0783,0.0405
0.31,0.5880,0.0754,0.0398
0.33,0.6228,0.0721,0.0390
0.36,0.6546,0.0686,0.0380
0.39,0.6831,0.0648,0.0369
0.41,0.7084,0.0609,0.0356
0.44,0.7313,0.0569,0.0342
0.46,0.7521,0.0526,0.0326
0.49,0.7705,0.0483,0.0308
0.51,0.7862,0.0439,0.0288
0.54,0.7988,0.0394,0.0267
0.57,0.8083,0.0348,0.0244
0.59,0.8138,0.0300,0.0219
0.62,0.8126,0.0253,0.0193
0.64,0.7986,0.0204,0.0166
0.67,0.7677,0.0155,0.0136
0.69,0.7064,0.0104,0.0104
0.72,0.5453,0.0053,0.0072
0.75,-0.0033,-0.0000,0.0046
