# J, eta_p, CT, CP
0.0,0.00,0.1504,0.1628
0.0,0.05,0.1502,0.1592
0.1,0.09,0.1498,0.1556
0.1,0.14,0.1493,0.1517
0.1,0.18,0.1487,0.1477
0.2,0.23,0.1478,0.1435
0.2,0.27,0.1467,0.1392
0.3,0.32,0.1453,0.1347
0.3,0.36,0.1436,0.1301
0.3,0.41,0.1415,0.1256
0.4,0.45,0.1390,0.1209
0.4,0.50,0.1360,0.1163
0.4,0.54,0.1324,0.1115
0.5,0.59,0.1282,0.1071
0.5,0.63,0.1232,0.1031
0.5,0.66,0.1172,0.0984
0.6,0.70,0.1103,0.0934
0.6,0.73,0.1029,0.0889
0.7,0.75,0.0953,0.0841
0.7,0.77,0.0876,0.0794
0.7,0.78,0.0797,0.0745
0.8,0.80,0.0715,0.0690
0.8,0.81,0.0635,0.0632
0.8,0.82,0.0549,0.0567
0.9,0.82,0.0458,0.0495
0.9,0.81,0.0371,0.0423
0.9,0.78,0.0281,0.0346
1.0,0.70,0.0187,0.0265
1.0,0.54,0.0096,0.0184
1.1,-0.00,0.0000,0.0098
