# J, eta_p, CT, CP
0.00,0.0000,0.1114,0.0475
0.02,0.0531,0.1100,0.0467
0.04,0.1061,0.1084,0.0459
0.07,0.1588,0.1066,0.0452
0.09,0.2107,0.1046,0.0445
0.11,0.2611,0.1024,0.0439
0.13,0.3093,0.0999,0.0434
0.16,0.3550,0.0971,0.0428
0.18,0.3982,0.0941,0.0423
0.20,0.4390,0.0909,0.0417
0.22,0.4773,0.0875,0.0410
0.24,0.5130,0.0839,0.0402
0.27,0.5462,0.0801,0.0393
0.29,0.5767,0.0763,0.0384
0.31,0.6049,0.0723,0.0374
0.33,0.6308,0.0683,0.0363
0.36,0.6540,0.0641,0.0350
0.38,0.6751,0.0599,0.0337
0.40,0.6935,0.0555,0.0322
0.42,0.7091,0.0510,0.0305
0.44,0.7212,0.0464,0.0288
0.47,0.7290,0.0417,0.0269
0.49,0.7310,0.0368,0.0249
0.51,0.7268,0.0319,0.0227
0.53,0.7128,0.0269,0.0204
0.56,0.6848,0.0217,0.0179
0.58,0.6290,0.0163,0.0153
0.60,0.5293,0.0110,0.0129
0.62,0.3500,0.0055,0.0103
0.65,-0.0031,-0.0001,0.0077
