# J, eta_p, CT, CP
0.00,0.0000,0.0932,0.0995
0.04,0.0461,0.0934,0.0979
0.07,0.0917,0.0936,0.0962
0.11,0.1368,0.0938,0.0945
0.15,0.1849,0.0938,0.0918
0.19,0.2302,0.0939,0.0899
0.22,0.2707,0.0941,0.0890
0.26,0.3155,0.0940,0.0871
0.30,0.3602,0.0940,0.0852
0.34,0.4055,0.0938,0.0834
0.37,0.4555,0.0936,0.0808
0.41,0.4989,0.0932,0.0796
0.45,0.5480,0.0924,0.0775
0.48,0.6001,0.0912,0.0749
0.52,0.6562,0.0894,0.0717
0.56,0.7036,0.0870,0.0696
0.60,0.7484,0.0831,0.0666
0.63,0.7828,0.0780,0.0634
0.67,0.8060,0.0723,0.0604
0.71,0.8243,0.0665,0.0573
0.75,0.8396,0.0604,0.0538
0.78,0.8520,0.0542,0.0499
0.82,0.8615,0.0476,0.0455
0.86,0.8647,0.0413,0.0410
0.90,0.8623,0.0348,0.0361
0.93,0.8482,0.0281,0.0309
0.97,0.8136,0.0214,0.0256
1.01,0.7284,0.0143,0.0198
1.04,0.5333,0.0072,0.0141
1.08,0.0283,-0.0000,0.0083
