# J, eta_p, CT, CP
0.0,0.00,0.1129,0.1068
0.0,0.05,0.1130,0.1055
0.1,0.11,0.1129,0.1043
0.1,0.16,0.1128,0.1036
0.1,0.20,0.1129,0.1028
0.2,0.25,0.1125,0.1006
0.2,0.30,0.1124,0.0999
0.3,0.34,0.1120,0.0981
0.3,0.39,0.1115,0.0973
0.3,0.43,0.1108,0.0955
0.4,0.47,0.1099,0.0941
0.4,0.52,0.1086,0.0925
0.4,0.56,0.1072,0.0912
0.5,0.60,0.1053,0.0892
0.5,0.63,0.1029,0.0871
0.5,0.67,0.0997,0.0844
0.6,0.71,0.0945,0.0803
0.6,0.74,0.0883,0.0758
0.7,0.76,0.0819,0.0719
0.7,0.78,0.0754,0.0679
0.7,0.80,0.0686,0.0634
0.8,0.81,0.0617,0.0584
0.8,0.82,0.0546,0.0534
0.8,0.83,0.0472,0.0481
0.9,0.83,0.0397,0.0422
0.9,0.82,0.0321,0.0358
0.9,0.80,0.0241,0.0288
1.0,0.75,0.0161,0.0217
1.0,0.56,0.0079,0.0150
1.1,-0.02,-0.0004,0.0088
