# J, eta_p, CT, CP
0.0,0.00,0.1275,0.0943
0.0,0.05,0.1268,0.0915
0.1,0.10,0.1260,0.0887
0.1,0.14,0.1249,0.0858
0.1,0.19,0.1238,0.0828
0.1,0.24,0.1223,0.0796
0.2,0.29,0.1206,0.0766
0.2,0.34,0.1186,0.0735
0.2,0.39,0.1164,0.0708
0.3,0.44,0.1136,0.0679
0.3,0.49,0.1102,0.0647
0.3,0.53,0.1063,0.0621
0.3,0.58,0.1018,0.0596
0.4,0.61,0.0971,0.0580
0.4,0.64,0.0921,0.0563
0.4,0.67,0.0869,0.0545
0.4,0.70,0.0816,0.0526
0.5,0.72,0.0762,0.0506
0.5,0.74,0.0706,0.0484
0.5,0.75,0.0649,0.0459
0.6,0.77,0.0591,0.0432
0.6,0.78,0.0530,0.0401
0.6,0.79,0.0468,0.0368
0.6,0.79,0.0405,0.0332
0.7,0.78,0.0340,0.0294
0.7,0.76,0.0275,0.0253
0.7,0.72,0.0207,0.0211
0.8,0.64,0.0138,0.0166
0.8,0.45,0.0068,0.0122
0.8,-0.01,-0.0001,0.0085
