# J, eta_p, CT, CP
0.00,0.0000,0.0886,0.0510
0.02,0.0478,0.0878,0.0494
0.04,0.0956,0.0869,0.0479
0.07,0.1434,0.0859,0.0463
0.09,0.1914,0.0846,0.0446
0.11,0.2394,0.0832,0.0429
0.13,0.2873,0.0816,0.0411
0.15,0.3344,0.0797,0.0396
0.17,0.3802,0.0776,0.0380
0.20,0.4242,0.0752,0.0366
0.22,0.4668,0.0727,0.0352
0.24,0.5071,0.0697,0.0338
0.26,0.5439,0.0667,0.0326
0.28,0.5765,0.0636,0.0316
0.30,0.6056,0.0604,0.0307
0.33,0.6322,0.0570,0.0296
0.35,0.6547,0.0535,0.0286
0.37,0.6741,0.0500,0.0276
0.39,0.6910,0.0464,0.0264
0.41,0.7056,0.0426,0.0251
0.43,0.7173,0.0387,0.0236
0.46,0.7249,0.0348,0.0220
0.48,0.7280,0.0308,0.0203
0.50,0.7255,0.0266,0.0185
0.52,0.7147,0.0224,0.0165
0.54,0.6891,0.0181,0.0145
0.57,0.6399,0.0138,0.0123
0.59,0.5482,0.0093,0.0101
0.61,0.3712,0.0047,0.0079
0.63,-0.0009,0.0000,0.0058
