# J, eta_p, CT, CP
0.0,0.00,0.2826,0.2289
0.0,0.05,0.2822,0.2299
0.1,0.10,0.2817,0.2309
0.1,0.15,0.2810,0.2319
0.2,0.20,0.2802,0.2329
0.2,0.25,0.2791,0.2338
0.2,0.30,0.2776,0.2346
0.3,0.34,0.2755,0.2350
0.3,0.39,0.2725,0.2348
0.4,0.43,0.2681,0.2334
0.4,0.47,0.2607,0.2294
0.5,0.51,0.2502,0.2229
0.5,0.55,0.2389,0.2163
0.5,0.58,0.2275,0.2104
0.6,0.61,0.2158,0.2042
0.6,0.64,0.2037,0.1975
0.7,0.67,0.1913,0.1901
0.7,0.69,0.1786,0.1821
0.7,0.71,0.1655,0.1735
0.8,0.73,0.1521,0.1641
0.8,0.74,0.1383,0.1540
0.9,0.75,0.1241,0.1431
0.9,0.76,0.1096,0.1315
1.0,0.76,0.0947,0.1192
1.0,0.75,0.0795,0.1062
1.0,0.72,0.0640,0.0927
1.1,0.66,0.0483,0.0788
1.1,0.56,0.0322,0.0647
1.2,0.37,0.0162,0.0508
1.2,-0.00,-0.0001,0.0372
