# J, eta_p, CT, CP
0.0,0.00,0.1191,0.0646
0.0,0.05,0.1182,0.0632
0.1,0.10,0.1172,0.0619
0.1,0.15,0.1161,0.0605
0.1,0.20,0.1147,0.0592
0.1,0.25,0.1132,0.0579
0.2,0.31,0.1114,0.0566
0.2,0.36,0.1092,0.0554
0.2,0.41,0.1067,0.0542
0.2,0.45,0.1037,0.0530
0.3,0.50,0.1003,0.0520
0.3,0.54,0.0965,0.0510
0.3,0.57,0.0924,0.0499
0.3,0.61,0.0881,0.0487
0.4,0.64,0.0836,0.0474
0.4,0.66,0.0789,0.0459
0.4,0.69,0.0741,0.0444
0.4,0.71,0.0691,0.0426
0.5,0.73,0.0641,0.0407
0.5,0.75,0.0589,0.0386
0.5,0.76,0.0536,0.0363
0.5,0.77,0.0482,0.0337
0.6,0.78,0.0426,0.0310
0.6,0.78,0.0369,0.0281
0.6,0.77,0.0310,0.0249
0.6,0.75,0.0250,0.0216
0.7,0.71,0.0190,0.0181
0.7,0.62,0.0127,0.0146
0.7,0.43,0.0064,0.0111
0.7,-0.00,0.0000,0.0076
