# J, eta_p, CT, CP
0.00,0.0000,0.0867,0.0300
0.02,0.0486,0.0846,0.0298
0.03,0.0955,0.0825,0.0296
0.05,0.1406,0.0804,0.0294
0.07,0.1840,0.0781,0.0291
0.08,0.2255,0.0759,0.0288
0.10,0.2652,0.0735,0.0285
0.12,0.3030,0.0711,0.0281
0.13,0.3391,0.0686,0.0277
0.15,0.3733,0.0661,0.0272
0.17,0.4057,0.0634,0.0267
0.18,0.4362,0.0607,0.0262
0.20,0.4649,0.0579,0.0256
0.22,0.4914,0.0551,0.0249
0.23,0.5157,0.0522,0.0242
0.25,0.5377,0.0492,0.0235
0.27,0.5574,0.0461,0.0227
0.28,0.5744,0.0430,0.0218
0.30,0.5881,0.0398,0.0209
0.32,0.5980,0.0365,0.0199
0.33,0.6033,0.0332,0.0189
0.35,0.6029,0.0298,0.0178
0.37,0.5950,0.0263,0.0167
0.38,0.5783,0.0227,0.0156
0.40,0.5499,0.0191,0.0144
0.42,0.5063,0.0154,0.0132
0.44,0.4416,0.0117,0.0119
0.45,0.3471,0.0078,0.0106
0.47,0.2080,0.0039,0.0094
0.49,-0.0002,0.0000,0.0081
