# J, eta_p, CT, CP
0.0,0.00,0.1028,0.0552
0.0,0.05,0.1019,0.0536
0.1,0.10,0.1009,0.0521
0.1,0.15,0.0997,0.0505
0.1,0.20,0.0982,0.0491
0.1,0.25,0.0965,0.0477
0.1,0.30,0.0947,0.0465
0.2,0.35,0.0926,0.0454
0.2,0.40,0.0902,0.0444
0.2,0.44,0.0876,0.0435
0.2,0.49,0.0848,0.0425
0.3,0.53,0.0817,0.0416
0.3,0.56,0.0783,0.0406
0.3,0.60,0.0748,0.0395
0.3,0.63,0.0711,0.0385
0.4,0.65,0.0671,0.0374
0.4,0.68,0.0631,0.0362
0.4,0.70,0.0588,0.0347
0.4,0.72,0.0545,0.0331
0.5,0.73,0.0501,0.0314
0.5,0.75,0.0456,0.0296
0.5,0.76,0.0410,0.0276
0.5,0.76,0.0362,0.0253
0.6,0.76,0.0313,0.0228
0.6,0.76,0.0263,0.0202
0.6,0.74,0.0212,0.0174
0.6,0.70,0.0161,0.0145
0.6,0.63,0.0108,0.0114
0.7,0.47,0.0054,0.0082
0.7,0.01,0.0001,0.0052
