# J, eta_p, CT, CP
0.0,0.00,0.0896,0.0966
0.0,0.06,0.0899,0.0960
0.1,0.12,0.0902,0.0958
0.1,0.17,0.0905,0.0954
0.2,0.23,0.0908,0.0953
0.2,0.28,0.0912,0.0954
0.3,0.33,0.0914,0.0949
0.3,0.37,0.0916,0.0943
0.4,0.42,0.0919,0.0945
0.4,0.46,0.0921,0.0944
0.4,0.50,0.0922,0.0951
0.5,0.54,0.0923,0.0952
0.5,0.58,0.0922,0.0952
0.6,0.62,0.0919,0.0944
0.6,0.65,0.0913,0.0937
0.7,0.69,0.0902,0.0928
0.7,0.72,0.0886,0.0918
0.8,0.75,0.0862,0.0901
0.8,0.78,0.0827,0.0872
0.8,0.81,0.0776,0.0825
0.9,0.83,0.0713,0.0768
0.9,0.85,0.0644,0.0710
1.0,0.87,0.0572,0.0647
1.0,0.88,0.0496,0.0578
1.1,0.88,0.0418,0.0508
1.1,0.87,0.0341,0.0435
1.2,0.84,0.0259,0.0355
1.2,0.77,0.0175,0.0271
1.2,0.59,0.0088,0.0186
1.3,-0.01,-0.0001,0.0103
