# J, eta_p, CT, CP
0.0,0.00,0.0897,0.1008
0.0,0.06,0.0903,0.1008
0.1,0.11,0.0904,0.0992
0.1,0.16,0.0908,0.0989
0.2,0.21,0.0907,0.0980
0.2,0.26,0.0912,0.0973
0.2,0.31,0.0915,0.0975
0.3,0.35,0.0915,0.0958
0.3,0.39,0.0918,0.0960
0.4,0.44,0.0917,0.0936
0.4,0.48,0.0916,0.0920
0.4,0.52,0.0915,0.0922
0.5,0.55,0.0912,0.0914
0.5,0.59,0.0909,0.0913
0.6,0.63,0.0900,0.0899
0.6,0.66,0.0884,0.0886
0.7,0.69,0.0861,0.0869
0.7,0.72,0.0830,0.0841
0.7,0.75,0.0789,0.0805
0.8,0.78,0.0734,0.0756
0.8,0.81,0.0673,0.0700
0.9,0.83,0.0608,0.0644
0.9,0.84,0.0541,0.0590
0.9,0.85,0.0471,0.0529
1.0,0.84,0.0397,0.0467
1.0,0.82,0.0321,0.0405
1.1,0.77,0.0244,0.0341
1.1,0.67,0.0164,0.0276
1.1,0.46,0.0081,0.0206
1.2,-0.01,-0.0001,0.0140
