# J, eta_p, CT, CP
0.00,0.0000,0.1273,0.1245
0.04,0.0492,0.1274,0.1229
0.08,0.0979,0.1276,0.1213
0.12,0.1461,0.1278,0.1195
0.16,0.1940,0.1279,0.1177
0.20,0.2416,0.1279,0.1159
0.24,0.2893,0.1279,0.1140
0.28,0.3371,0.1277,0.1120
0.32,0.3851,0.1275,0.1101
0.35,0.4337,0.1272,0.1081
0.39,0.4831,0.1266,0.1060
0.43,0.5334,0.1255,0.1036
0.47,0.5830,0.1238,0.1013
0.51,0.6304,0.1214,0.0991
0.55,0.6737,0.1179,0.0970
0.59,0.7115,0.1133,0.0945
0.63,0.7435,0.1074,0.0915
0.67,0.7702,0.1003,0.0877
0.71,0.7933,0.0930,0.0835
0.75,0.8137,0.0855,0.0789
0.79,0.8308,0.0778,0.0741
0.83,0.8459,0.0700,0.0688
0.87,0.8582,0.0618,0.0627
0.91,0.8687,0.0534,0.0559
0.95,0.8743,0.0449,0.0487
0.99,0.8728,0.0363,0.0411
1.03,0.8568,0.0275,0.0331
1.06,0.8129,0.0187,0.0248
1.10,0.6845,0.0098,0.0161
1.14,0.0029,0.0001,0.0075
