# J, eta_p, CT, CP
0.0,0.00,0.1485,0.1643
0.0,0.05,0.1488,0.1615
0.1,0.09,0.1490,0.1586
0.1,0.13,0.1492,0.1574
0.2,0.18,0.1492,0.1524
0.2,0.22,0.1492,0.1492
0.2,0.27,0.1491,0.1458
0.3,0.31,0.1490,0.1440
0.3,0.36,0.1485,0.1390
0.3,0.40,0.1481,0.1369
0.4,0.45,0.1473,0.1320
0.4,0.50,0.1461,0.1283
0.5,0.55,0.1445,0.1255
0.5,0.60,0.1416,0.1210
0.5,0.65,0.1375,0.1155
0.6,0.70,0.1320,0.1116
0.6,0.73,0.1245,0.1066
0.7,0.76,0.1164,0.1022
0.7,0.78,0.1080,0.0975
0.7,0.80,0.0994,0.0924
0.8,0.82,0.0905,0.0867
0.8,0.83,0.0812,0.0803
0.9,0.84,0.0718,0.0737
0.9,0.84,0.0623,0.0666
0.9,0.84,0.0526,0.0591
1.0,0.82,0.0422,0.0503
1.0,0.79,0.0319,0.0414
1.1,0.70,0.0214,0.0322
1.1,0.52,0.0108,0.0228
1.1,0.02,-0.0000,0.0134
