# J, eta_p, CT, CP
0.00,0.0000,0.1208,0.0768
0.03,0.0474,0.1200,0.0746
0.05,0.0957,0.1191,0.0722
0.08,0.1445,0.1179,0.0702
0.11,0.1946,0.1166,0.0678
0.14,0.2451,0.1150,0.0657
0.16,0.2961,0.1131,0.0637
0.19,0.3469,0.1109,0.0618
0.22,0.3966,0.1083,0.0601
0.25,0.4446,0.1054,0.0585
0.27,0.4901,0.1022,0.0571
0.30,0.5324,0.0986,0.0558
0.33,0.5716,0.0947,0.0543
0.35,0.6069,0.0903,0.0529
0.38,0.6380,0.0855,0.0513
0.41,0.6653,0.0807,0.0497
0.44,0.6899,0.0757,0.0479
0.46,0.7121,0.0706,0.0460
0.49,0.7321,0.0653,0.0438
0.52,0.7501,0.0599,0.0414
0.55,0.7656,0.0544,0.0388
0.57,0.7779,0.0488,0.0359
0.60,0.7860,0.0431,0.0329
0.63,0.7889,0.0372,0.0296
0.65,0.7846,0.0312,0.0261
0.68,0.7657,0.0251,0.0224
0.71,0.7237,0.0190,0.0186
0.74,0.6382,0.0127,0.0147
0.76,0.4522,0.0064,0.0109
0.79,-0.0046,-0.0000,0.0071
