# J, eta_p, CT, CP
0.0,0.00,0.0851,0.0300
0.0,0.05,0.0835,0.0299
0.0,0.10,0.0817,0.0296
0.1,0.15,0.0798,0.0295
0.1,0.20,0.0778,0.0292
0.1,0.25,0.0757,0.0289
0.1,0.29,0.0734,0.0286
0.1,0.33,0.0711,0.0283
0.1,0.37,0.0687,0.0278
0.2,0.41,0.0662,0.0274
0.2,0.45,0.0635,0.0269
0.2,0.48,0.0609,0.0263
0.2,0.51,0.0581,0.0257
0.2,0.54,0.0553,0.0251
0.3,0.57,0.0524,0.0244
0.3,0.59,0.0495,0.0236
0.3,0.61,0.0465,0.0227
0.3,0.63,0.0434,0.0219
0.3,0.65,0.0402,0.0210
0.3,0.67,0.0370,0.0200
0.4,0.68,0.0337,0.0189
0.4,0.68,0.0303,0.0177
0.4,0.68,0.0268,0.0164
0.4,0.68,0.0232,0.0151
0.4,0.66,0.0196,0.0136
0.5,0.63,0.0158,0.0120
0.5,0.58,0.0120,0.0104
0.5,0.49,0.0080,0.0088
0.5,0.32,0.0041,0.0072
0.5,-0.01,-0.0001,0.0058
