# J, eta_p, CT, CP
0.0,0.00,0.1226,0.1487
0.0,0.04,0.1229,0.1458
0.1,0.09,0.1231,0.1428
0.1,0.13,0.1232,0.1396
0.2,0.18,0.1233,0.1363
0.2,0.22,0.1232,0.1329
0.2,0.27,0.1231,0.1293
0.3,0.31,0.1228,0.1258
0.3,0.36,0.1224,0.1221
0.4,0.40,0.1218,0.1183
0.4,0.45,0.1210,0.1145
0.4,0.50,0.1199,0.1107
0.5,0.55,0.1184,0.1067
0.5,0.60,0.1163,0.1026
0.6,0.65,0.1133,0.0983
0.6,0.70,0.1094,0.0940
0.6,0.74,0.1043,0.0897
0.7,0.78,0.0980,0.0853
0.7,0.80,0.0905,0.0807
0.8,0.82,0.0830,0.0763
0.8,0.84,0.0754,0.0714
0.8,0.85,0.0676,0.0662
0.9,0.86,0.0598,0.0605
0.9,0.87,0.0517,0.0541
1.0,0.88,0.0435,0.0472
1.0,0.88,0.0351,0.0398
1.0,0.86,0.0265,0.0319
1.1,0.80,0.0178,0.0239
1.1,0.64,0.0090,0.0157
1.2,0.00,0.0000,0.0077
