# J, eta_p, CT, CP
0.0,0.00,0.1031,0.0589
0.0,0.05,0.1030,0.0584
0.1,0.11,0.1028,0.0579
0.1,0.16,0.1024,0.0573
0.1,0.21,0.1020,0.0567
0.1,0.26,0.1014,0.0560
0.2,0.31,0.1005,0.0554
0.2,0.37,0.0994,0.0547
0.2,0.41,0.0979,0.0541
0.3,0.46,0.0960,0.0536
0.3,0.51,0.0937,0.0531
0.3,0.55,0.0910,0.0525
0.3,0.58,0.0880,0.0517
0.4,0.62,0.0845,0.0504
0.4,0.65,0.0808,0.0496
0.4,0.68,0.0765,0.0481
0.5,0.71,0.0720,0.0463
0.5,0.73,0.0672,0.0444
0.5,0.76,0.0621,0.0421
0.5,0.78,0.0570,0.0397
0.6,0.79,0.0518,0.0372
0.6,0.81,0.0466,0.0346
0.6,0.82,0.0412,0.0317
0.6,0.82,0.0357,0.0285
0.7,0.82,0.0301,0.0251
0.7,0.81,0.0243,0.0214
0.7,0.79,0.0184,0.0175
0.8,0.73,0.0124,0.0133
0.8,0.58,0.0062,0.0090
0.8,-0.00,-0.0000,0.0056
