# J, eta_p, CT, CP
0.00,0.0000,0.0871,0.0297
0.02,0.0498,0.0852,0.0295
0.03,0.0980,0.0832,0.0293
0.05,0.1445,0.0811,0.0290
0.07,0.1892,0.0789,0.0287
0.08,0.2322,0.0765,0.0283
0.10,0.2730,0.0742,0.0280
0.12,0.3120,0.0717,0.0276
0.13,0.3495,0.0692,0.0271
0.15,0.3849,0.0666,0.0267
0.17,0.4184,0.0639,0.0262
0.19,0.4500,0.0612,0.0256
0.20,0.4797,0.0584,0.0250
0.22,0.5073,0.0556,0.0244
0.24,0.5328,0.0527,0.0236
0.25,0.5564,0.0496,0.0229
0.27,0.5776,0.0466,0.0220
0.29,0.5962,0.0434,0.0211
0.30,0.6120,0.0402,0.0202
0.32,0.6249,0.0369,0.0192
0.34,0.6341,0.0335,0.0181
0.35,0.6384,0.0300,0.0170
0.37,0.6364,0.0265,0.0158
0.39,0.6270,0.0230,0.0145
0.40,0.6072,0.0193,0.0132
0.42,0.5737,0.0156,0.0119
0.44,0.5186,0.0118,0.0104
0.45,0.4281,0.0080,0.0089
0.47,0.2734,0.0040,0.0075
0.49,-0.0013,0.0000,0.0060
