# J, eta_p, CT, CP
0.00,0.0000,0.1296,0.1913
0.05,0.0500,0.1295,0.1896
0.10,0.0980,0.1295,0.1879
0.14,0.1441,0.1295,0.1861
0.19,0.1884,0.1297,0.1844
0.24,0.2312,0.1300,0.1823
0.29,0.2723,0.1304,0.1808
0.34,0.3121,0.1309,0.1796
0.38,0.3507,0.1315,0.1790
0.43,0.3880,0.1321,0.1791
0.48,0.4247,0.1329,0.1788
0.53,0.4617,0.1338,0.1776
0.58,0.4990,0.1346,0.1764
0.62,0.5380,0.1352,0.1737
0.67,0.5791,0.1355,0.1699
0.72,0.6211,0.1348,0.1656
0.77,0.6639,0.1327,0.1601
0.81,0.7068,0.1286,0.1528
0.86,0.7477,0.1220,0.1430
0.91,0.7777,0.1134,0.1340
0.96,0.7986,0.1040,0.1254
1.01,0.8123,0.0938,0.1165
1.06,0.8209,0.0831,0.1069
1.10,0.8248,0.0721,0.0965
1.15,0.8233,0.0610,0.0853
1.20,0.8142,0.0496,0.0730
1.25,0.7902,0.0377,0.0596
1.30,0.7298,0.0256,0.0454
1.35,0.5782,0.0131,0.0305
1.39,0.0022,0.0001,0.0148
