# J, eta_p, CT, CP
0.0,0.00,0.1016,0.1522
0.0,0.04,0.1020,0.1496
0.1,0.09,0.1024,0.1468
0.1,0.13,0.1027,0.1439
0.2,0.17,0.1030,0.1407
0.2,0.22,0.1033,0.1382
0.3,0.26,0.1035,0.1349
0.3,0.30,0.1037,0.1314
0.3,0.34,0.1036,0.1280
0.4,0.38,0.1036,0.1246
0.4,0.42,0.1034,0.1213
0.5,0.46,0.1029,0.1177
0.5,0.51,0.1023,0.1138
0.6,0.55,0.1013,0.1099
0.6,0.60,0.0999,0.1055
0.6,0.65,0.0978,0.1008
0.7,0.70,0.0950,0.0959
0.7,0.75,0.0910,0.0904
0.8,0.79,0.0856,0.0850
0.8,0.82,0.0791,0.0794
0.9,0.84,0.0721,0.0741
0.9,0.86,0.0650,0.0688
0.9,0.87,0.0575,0.0631
1.0,0.87,0.0500,0.0573
1.0,0.86,0.0421,0.0506
1.1,0.84,0.0339,0.0433
1.1,0.80,0.0258,0.0360
1.2,0.72,0.0174,0.0281
1.2,0.53,0.0088,0.0201
1.2,0.00,0.0000,0.0120
