# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1145,    0.3063,    10035.629,    4.356,    46.039
3.1,    0.04,    0.0145,    0.1150,    0.2974,    9741.823,    4.228,    46.239
6.1,    0.08,    0.0301,    0.1155,    0.2883,    9445.780,    4.100,    46.426
9.2,    0.11,    0.0470,    0.1158,    0.2780,    9108.724,    3.954,    46.564
12.2,    0.15,    0.0659,    0.1159,    0.2646,    8669.507,    3.763,    46.604
15.3,    0.19,    0.0851,    0.1163,    0.2570,    8419.697,    3.655,    46.737
18.4,    0.23,    0.1073,    0.1162,    0.2443,    8003.597,    3.474,    46.711
21.5,    0.26,    0.1296,    0.1163,    0.2363,    7740.365,    3.360,    46.755
24.5,    0.30,    0.1568,    0.1159,    0.2225,    7287.725,    3.163,    46.586
27.6,    0.34,    0.1848,    0.1155,    0.2116,    6931.280,    3.009,    46.439
30.7,    0.38,    0.2184,    0.1147,    0.1977,    6475.658,    2.811,    46.128
33.7,    0.41,    0.2532,    0.1140,    0.1862,    6101.316,    2.648,    45.817
36.8,    0.45,    0.2946,    0.1128,    0.1729,    5662.845,    2.458,    45.359
39.8,    0.49,    0.3395,    0.1116,    0.1607,    5265.387,    2.285,    44.856
42.9,    0.53,    0.3805,    0.1105,    0.1529,    5009.612,    2.174,    44.420
46.0,    0.56,    0.4246,    0.1090,    0.1449,    4746.380,    2.060,    43.828
49.0,    0.60,    0.4739,    0.1070,    0.1359,    4451.083,    1.932,    43.001
52.1,    0.64,    0.5453,    0.1038,    0.1217,    3987.257,    1.731,    41.729
55.2,    0.68,    0.6367,    0.1000,    0.1063,    3483.910,    1.512,    40.203
58.2,    0.71,    0.7377,    0.0927,    0.0898,    2941.786,    1.277,    37.263
61.3,    0.75,    0.7940,    0.0850,    0.0805,    2639.032,    1.145,    34.176
64.4,    0.79,    0.8159,    0.0768,    0.0743,    2435.456,    1.057,    30.862
67.5,    0.83,    0.8368,    0.0677,    0.0670,    2193.849,    0.952,    27.223
70.5,    0.87,    0.8531,    0.0585,    0.0593,    1942.548,    0.843,    23.504
73.6,    0.90,    0.8578,    0.0496,    0.0522,    1712.127,    0.743,    19.959
76.6,    0.94,    0.8523,    0.0406,    0.0448,    1466.792,    0.637,    16.312
79.7,    0.98,    0.8310,    0.0306,    0.0360,    1180.443,    0.512,    12.308
82.7,    1.02,    0.7648,    0.0206,    0.0274,    897.077,    0.389,    8.287
85.8,    1.05,    0.5559,    0.0105,    0.0198,    650.250,    0.282,    4.208
88.9,    1.09,    0.0374,    0.0004,    0.0122,    398.949,    0.173,    0.169
