# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1332,0.2251,3447.371,0.823,22.935
3.6,0.04,0.0247,0.1336,0.2205,3376.529,0.806,23.006
7.2,0.08,0.0508,0.1339,0.2151,3293.756,0.786,23.060
10.9,0.12,0.0785,0.1342,0.2095,3207.255,0.766,23.109
14.5,0.16,0.1077,0.1344,0.2038,3121.500,0.745,23.149
18.1,0.20,0.1387,0.1346,0.1982,3034.253,0.724,23.175
21.8,0.25,0.1721,0.1346,0.1917,2935.820,0.701,23.184
25.4,0.29,0.2074,0.1346,0.1856,2841.862,0.678,23.184
29.1,0.33,0.2453,0.1345,0.1791,2742.684,0.655,23.162
32.7,0.37,0.2859,0.1342,0.1725,2642.015,0.631,23.113
36.3,0.41,0.3295,0.1337,0.1657,2536.871,0.606,23.024
39.9,0.45,0.3763,0.1330,0.1588,2430.982,0.580,22.904
43.6,0.49,0.4263,0.1321,0.1518,2325.092,0.555,22.748
47.2,0.53,0.4801,0.1309,0.1448,2216.966,0.529,22.548
50.8,0.57,0.5340,0.1296,0.1388,2125.245,0.507,22.330
54.4,0.61,0.5819,0.1284,0.1352,2069.317,0.494,22.112
58.1,0.65,0.6301,0.1268,0.1315,2013.390,0.481,21.836
61.7,0.69,0.6932,0.1229,0.1231,1885.129,0.450,21.174
65.4,0.74,0.7466,0.1142,0.1125,1722.567,0.411,19.679
69.0,0.78,0.7738,0.1048,0.1051,1609.220,0.384,18.055
72.6,0.82,0.7959,0.0953,0.0979,1498.111,0.358,16.423
76.3,0.86,0.8113,0.0863,0.0912,1397.442,0.334,14.866
79.9,0.90,0.8232,0.0772,0.0843,1290.806,0.308,13.300
83.5,0.94,0.8307,0.0674,0.0763,1167.766,0.279,11.619
87.1,0.98,0.8319,0.0565,0.0665,1018.626,0.243,9.728
90.8,1.02,0.8198,0.0457,0.0570,872.469,0.208,7.878
94.4,1.06,0.7877,0.0351,0.0473,724.820,0.173,6.050
98.0,1.10,0.7174,0.0243,0.0373,571.952,0.136,4.181
101.7,1.14,0.5571,0.0120,0.0247,378.070,0.090,2.068
105.3,1.18,0.0202,0.0002,0.0108,165.545,0.040,0.031
