# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1150,0.0666,9.694,0.047,1.592
0.4,0.04,0.0701,0.1151,0.0681,9.694,0.048,1.592
0.9,0.08,0.1372,0.1153,0.0697,10.440,0.049,1.597
1.3,0.12,0.2012,0.1154,0.0713,10.440,0.050,1.597
1.7,0.17,0.2621,0.1155,0.0730,10.440,0.051,1.597
2.2,0.21,0.3198,0.1156,0.0749,11.185,0.052,1.597
2.6,0.25,0.3744,0.1156,0.0768,11.185,0.054,1.601
3.1,0.29,0.4259,0.1156,0.0788,11.185,0.055,1.601
3.5,0.33,0.4742,0.1155,0.0808,11.931,0.056,1.597
3.9,0.37,0.5196,0.1154,0.0828,11.931,0.058,1.597
4.4,0.41,0.5619,0.1151,0.0849,12.677,0.059,1.592
4.8,0.46,0.6013,0.1146,0.0869,12.677,0.061,1.588
5.3,0.50,0.6381,0.1137,0.0887,12.677,0.062,1.575
5.7,0.54,0.6724,0.1119,0.0897,13.423,0.063,1.548
6.1,0.58,0.7040,0.1091,0.0899,13.423,0.063,1.508
6.6,0.62,0.7325,0.1052,0.0893,13.423,0.062,1.455
7.0,0.66,0.7579,0.1002,0.0877,12.677,0.061,1.388
7.5,0.70,0.7798,0.0940,0.0849,12.677,0.059,1.299
7.9,0.75,0.7979,0.0869,0.0812,11.931,0.057,1.201
8.3,0.79,0.8123,0.0796,0.0772,11.185,0.054,1.103
8.8,0.83,0.8233,0.0723,0.0728,10.440,0.051,1.001
9.2,0.87,0.8312,0.0649,0.0679,9.694,0.048,0.899
9.7,0.91,0.8364,0.0573,0.0625,8.948,0.044,0.792
10.1,0.95,0.8396,0.0495,0.0563,8.203,0.039,0.685
10.6,0.99,0.8402,0.0416,0.0493,7.457,0.034,0.574
11.0,1.04,0.8347,0.0335,0.0415,5.966,0.029,0.463
11.4,1.08,0.8164,0.0252,0.0332,5.220,0.023,0.347
11.8,1.12,0.7634,0.0169,0.0248,3.728,0.017,0.236
12.3,1.16,0.6144,0.0085,0.0161,2.237,0.011,0.120
12.7,1.20,-0.0041,0.0000,0.0075,0.746,0.005,0.000
