# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1193,0.0671,0.000,0.001,0.089
0.2,0.04,0.0680,0.1195,0.0686,0.000,0.001,0.089
0.4,0.08,0.1330,0.1196,0.0702,0.000,0.001,0.089
0.6,0.12,0.1952,0.1198,0.0719,0.000,0.001,0.089
0.8,0.16,0.2543,0.1199,0.0736,0.000,0.001,0.089
1.0,0.20,0.3105,0.1199,0.0754,0.000,0.001,0.089
1.2,0.23,0.3639,0.1199,0.0771,0.000,0.001,0.089
1.4,0.27,0.4144,0.1197,0.0789,0.000,0.001,0.089
1.6,0.31,0.4619,0.1193,0.0807,0.000,0.001,0.089
1.8,0.35,0.5068,0.1187,0.0823,0.000,0.001,0.089
2.0,0.39,0.5490,0.1177,0.0837,0.000,0.001,0.085
2.2,0.43,0.5883,0.1162,0.0848,0.000,0.001,0.085
2.4,0.47,0.6250,0.1138,0.0853,0.000,0.001,0.085
2.6,0.51,0.6588,0.1107,0.0852,0.000,0.001,0.080
2.8,0.55,0.6894,0.1065,0.0844,0.000,0.001,0.080
3.0,0.59,0.7168,0.1011,0.0826,0.000,0.001,0.076
3.2,0.62,0.7408,0.0947,0.0799,0.000,0.001,0.071
3.4,0.66,0.7609,0.0882,0.0769,0.000,0.001,0.067
3.6,0.70,0.7774,0.0817,0.0738,0.000,0.001,0.058
3.8,0.74,0.7906,0.0750,0.0703,0.000,0.001,0.053
4.0,0.78,0.8008,0.0682,0.0664,0.000,0.001,0.049
4.2,0.82,0.8083,0.0612,0.0621,0.000,0.001,0.044
4.4,0.86,0.8139,0.0541,0.0570,0.000,0.001,0.040
4.6,0.90,0.8174,0.0468,0.0514,0.000,0.001,0.036
4.7,0.94,0.8164,0.0393,0.0451,0.000,0.001,0.027
5.0,0.98,0.8091,0.0317,0.0382,0.000,0.001,0.022
5.1,1.01,0.7854,0.0239,0.0309,0.000,0.001,0.018
5.4,1.05,0.7263,0.0160,0.0232,0.000,0.000,0.013
5.5,1.09,0.5712,0.0080,0.0153,0.000,0.000,0.004
5.8,1.13,-0.0016,0.0000,0.0082,0.000,0.000,0.000
