# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1342,    0.2941,    7584.513,    6.036,    56.773
2.8,    0.05,    0.0216,    0.1349,    0.2854,    7360.803,    5.857,    57.062
5.6,    0.09,    0.0449,    0.1355,    0.2761,    7120.688,    5.667,    57.315
8.4,    0.14,    0.0700,    0.1359,    0.2662,    6865.659,    5.463,    57.511
11.1,    0.18,    0.0974,    0.1362,    0.2556,    6593.478,    5.247,    57.640
13.9,    0.23,    0.1274,    0.1364,    0.2447,    6311.604,    5.023,    57.698
16.7,    0.27,    0.1601,    0.1363,    0.2334,    6020.781,    4.791,    57.671
19.5,    0.32,    0.1962,    0.1360,    0.2218,    5721.009,    4.553,    57.551
22.3,    0.37,    0.2360,    0.1355,    0.2100,    5416.018,    4.310,    57.329
25.1,    0.41,    0.2798,    0.1347,    0.1981,    5108.790,    4.065,    57.008
27.9,    0.46,    0.3284,    0.1337,    0.1861,    4800.070,    3.820,    56.572
30.7,    0.50,    0.3821,    0.1324,    0.1742,    4493.587,    3.576,    56.021
33.4,    0.55,    0.4415,    0.1308,    0.1625,    4190.833,    3.335,    55.327
36.2,    0.59,    0.5066,    0.1288,    0.1510,    3895.536,    3.100,    54.477
39.0,    0.64,    0.5775,    0.1263,    0.1400,    3609.933,    2.873,    53.450
41.8,    0.69,    0.6527,    0.1233,    0.1295,    3340.735,    2.658,    52.173
44.6,    0.73,    0.7269,    0.1183,    0.1190,    3070.046,    2.443,    50.065
47.4,    0.78,    0.7879,    0.1106,    0.1091,    2814.271,    2.239,    46.804
50.2,    0.82,    0.8206,    0.1021,    0.1024,    2640.523,    2.101,    43.197
52.9,    0.87,    0.8427,    0.0935,    0.0964,    2486.163,    1.979,    39.576
55.7,    0.91,    0.8616,    0.0850,    0.0901,    2325.092,    1.850,    35.946
58.5,    0.96,    0.8783,    0.0762,    0.0833,    2148.361,    1.710,    32.254
61.3,    1.01,    0.8934,    0.0673,    0.0758,    1955.225,    1.556,    28.491
64.1,    1.05,    0.9066,    0.0583,    0.0676,    1742.701,    1.387,    24.648
66.9,    1.10,    0.9175,    0.0490,    0.0586,    1510.788,    1.202,    20.729
69.6,    1.14,    0.9237,    0.0395,    0.0489,    1261.724,    1.004,    16.734
72.5,    1.19,    0.9207,    0.0299,    0.0386,    995.509,    0.792,    12.646
75.2,    1.23,    0.8948,    0.0202,    0.0278,    717.363,    0.571,    8.532
78.0,    1.28,    0.7918,    0.0102,    0.0165,    425.049,    0.338,    4.310
80.8,    1.33,    -0.0040,    0.0000,    0.0059,    152.868,    0.122,    -0.009
