# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1346,    0.0813,    1.491,    0.002,    0.196
0.4,    0.04,    0.0688,    0.1348,    0.0832,    1.491,    0.002,    0.196
0.8,    0.08,    0.1345,    0.1350,    0.0852,    1.491,    0.002,    0.196
1.2,    0.13,    0.1973,    0.1351,    0.0872,    1.491,    0.002,    0.196
1.6,    0.17,    0.2570,    0.1351,    0.0892,    1.491,    0.002,    0.196
2.0,    0.21,    0.3138,    0.1349,    0.0912,    1.491,    0.002,    0.196
2.4,    0.25,    0.3675,    0.1346,    0.0933,    1.491,    0.002,    0.196
2.8,    0.30,    0.4182,    0.1341,    0.0953,    1.491,    0.002,    0.196
3.2,    0.34,    0.4660,    0.1335,    0.0972,    1.491,    0.003,    0.196
3.6,    0.38,    0.5107,    0.1325,    0.0991,    1.491,    0.003,    0.191
4.0,    0.42,    0.5526,    0.1313,    0.1008,    1.491,    0.003,    0.191
4.4,    0.47,    0.5915,    0.1297,    0.1024,    1.491,    0.003,    0.187
4.8,    0.51,    0.6276,    0.1277,    0.1036,    1.491,    0.003,    0.187
5.3,    0.55,    0.6607,    0.1252,    0.1045,    1.491,    0.003,    0.182
5.7,    0.59,    0.6910,    0.1219,    0.1048,    1.491,    0.003,    0.178
6.1,    0.64,    0.7186,    0.1173,    0.1039,    1.491,    0.003,    0.169
6.5,    0.68,    0.7434,    0.1107,    0.1011,    1.491,    0.003,    0.160
6.9,    0.72,    0.7649,    0.1032,    0.0973,    1.491,    0.003,    0.151
7.3,    0.76,    0.7831,    0.0956,    0.0932,    1.491,    0.002,    0.138
7.7,    0.81,    0.7980,    0.0878,    0.0887,    1.491,    0.002,    0.129
8.1,    0.85,    0.8103,    0.0799,    0.0837,    1.491,    0.002,    0.116
8.5,    0.89,    0.8201,    0.0718,    0.0780,    0.746,    0.002,    0.102
8.9,    0.93,    0.8276,    0.0635,    0.0716,    0.746,    0.002,    0.093
9.3,    0.98,    0.8335,    0.0550,    0.0644,    0.746,    0.002,    0.080
9.7,    1.02,    0.8367,    0.0462,    0.0562,    0.746,    0.001,    0.067
10.1,    1.06,    0.8350,    0.0372,    0.0473,    0.746,    0.001,    0.053
10.5,    1.10,    0.8243,    0.0280,    0.0375,    0.746,    0.001,    0.040
10.9,    1.15,    0.7918,    0.0188,    0.0271,    0.746,    0.001,    0.027
11.3,    1.19,    0.6894,    0.0094,    0.0162,    0.000,    0.000,    0.013
11.7,    1.23,    -0.0019,    0.0000,    0.0064,    0.000,    0.000,    0.000
