# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.0958,    0.0394,    5721.009,    4.552,    161.297
1.8,    0.02,    0.0500,    0.0952,    0.0397,    5763.514,    4.586,    160.341
3.6,    0.04,    0.0986,    0.0944,    0.0399,    5791.105,    4.608,    158.926
5.4,    0.06,    0.1459,    0.0933,    0.0401,    5810.493,    4.624,    157.213
7.2,    0.08,    0.1917,    0.0921,    0.0401,    5817.205,    4.629,    155.145
9.0,    0.10,    0.2362,    0.0906,    0.0400,    5806.765,    4.621,    152.618
10.8,    0.13,    0.2793,    0.0889,    0.0398,    5776.937,    4.597,    149.660
12.6,    0.15,    0.3220,    0.0869,    0.0394,    5718.772,    4.551,    146.400
14.4,    0.17,    0.3647,    0.0848,    0.0388,    5629.288,    4.480,    142.823
16.2,    0.19,    0.4066,    0.0825,    0.0381,    5524.890,    4.396,    138.900
18.0,    0.21,    0.4474,    0.0799,    0.0373,    5403.341,    4.300,    134.528
19.8,    0.23,    0.4860,    0.0767,    0.0362,    5257.184,    4.183,    129.234
21.5,    0.25,    0.5228,    0.0733,    0.0351,    5089.402,    4.050,    123.389
23.4,    0.27,    0.5581,    0.0696,    0.0338,    4907.451,    3.905,    117.242
25.2,    0.29,    0.5919,    0.0659,    0.0325,    4717.297,    3.754,    110.983
27.0,    0.31,    0.6230,    0.0622,    0.0312,    4530.127,    3.605,    104.689
28.7,    0.33,    0.6500,    0.0584,    0.0300,    4351.159,    3.463,    98.364
30.5,    0.35,    0.6737,    0.0547,    0.0288,    4173.682,    3.321,    92.051
32.4,    0.38,    0.6953,    0.0509,    0.0275,    3987.257,    3.173,    85.699
34.2,    0.40,    0.7113,    0.0470,    0.0262,    3802.324,    3.026,    79.205
35.9,    0.42,    0.7289,    0.0430,    0.0246,    3567.428,    2.839,    72.355
37.7,    0.44,    0.7412,    0.0387,    0.0229,    3317.619,    2.640,    65.153
39.5,    0.46,    0.7472,    0.0343,    0.0211,    3052.895,    2.430,    57.698
41.4,    0.48,    0.7473,    0.0296,    0.0190,    2761.327,    2.197,    49.922
43.1,    0.50,    0.7362,    0.0249,    0.0170,    2461.555,    1.959,    42.018
44.9,    0.52,    0.7105,    0.0202,    0.0148,    2148.361,    1.710,    33.980
46.7,    0.54,    0.6616,    0.0153,    0.0125,    1818.762,    1.447,    25.760
48.5,    0.56,    0.5727,    0.0103,    0.0101,    1471.266,    1.171,    17.366
50.3,    0.58,    0.3967,    0.0052,    0.0077,    1117.804,    0.890,    8.812
52.1,    0.61,    -0.0007,    0.0000,    0.0058,    835.184,    0.665,    -0.009
